Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Product,Quantity,Unit_Price,Total_Sales,Payment_Method,City
T0001,2025-08-03,C431,Male,35.0,Beauty,Face Wash,2,1894.16,3788.32,Net Banking,Mumbai
T0002,2025-10-21,C486,Female,23.0,Home & Kitchen,Cookware,1,8858.59,8858.59,Cash,Pune
T0003,2025-07-07,C371,Female,30.0,Electronics,Smartwatch,2,10426.61,20853.22,Debit Card,Mumbai
T0004,2025-05-15,C121,Male,25.0,Beauty,Moisturizer,2,3467.77,6935.54,Credit Card,Mumbai
T0005,2025-04-02,C467,Female,18.0,Electronics,Smartwatch,1,20006.48,20006.48,Cash,Pune
T0006,2025-01-02,C490,Female,41.0,Home & Kitchen,Cookware,2,2759.27,5518.54,Credit Card,Mumbai
T0007,2025-12-17,C404,Male,28.0,Groceries,Biscuits,2,1395.86,2791.72,Cash,Hyderabad
T0008,2025-10-07,C317,Female,42.0,Groceries,Cooking Oil,3,846.36,2539.08,Cash,Mumbai
T0009,2025-05-09,C236,Female,21.0,Groceries,Rice,1,681.23,681.23,Debit Card,Chennai
T0010,2025-09-18,C331,Female,24.0,Electronics,Smartwatch,3,48106.06,144318.18,UPI,Mumbai
T0011,2025-10-20,C199,Female,21.0,Electronics,Smartwatch,2,42779.75,85559.5,Debit Card,Chennai
T0012,2025-09-14,C105,Female,28.0,Electronics,Headphones,1,45088.73,45088.73,Debit Card,Hyderabad
T0013,2025-04-06,C488,Female,18.0,Clothing,Jeans,4,3114.54,12458.16,Net Banking,Pune
T0014,2025-07-06,C343,Female,27.0,Home & Kitchen,Mixer,1,1569.87,1569.87,Cash,Bengaluru
T0015,2025-12-06,C386,Female,23.0,Clothing,T-Shirt,2,1701.42,3402.84,Debit Card,Bengaluru
T0016,2025-10-10,C221,Female,26.0,Beauty,Face Wash,1,618.2,618.2,Net Banking,Hyderabad
T0017,2025-08-22,C272,Female,31.0,Home & Kitchen,Blender,2,8524.53,17049.06,Debit Card,Delhi
T0018,2025-02-21,C368,Female,18.0,Electronics,Smartwatch,2,58532.67,117065.34,Credit Card,Chennai
T0019,2025-08-13,C485,Male,30.0,Electronics,Smartphone,1,22489.62,22489.62,Credit Card,Pune
T0020,2025-11-20,C303,Female,54.0,Beauty,Shampoo,5,1119.81,5599.05,Debit Card,Hyderabad
T0021,2025-07-20,C224,Male,29.0,Groceries,Cooking Oil,3,1213.65,3640.95,Net Banking,Chennai
T0022,2025-05-27,C248,Female,32.0,Beauty,Moisturizer,3,263.03,789.09,Cash,Hyderabad
T0023,2025-05-31,C398,Male,36.0,Electronics,Smartwatch,1,25735.45,25735.45,Cash,Bengaluru
T0024,2025-10-31,C354,Female,28.0,Electronics,Smartwatch,2,20576.32,41152.64,Net Banking,Pune
T0025,2025-06-01,C154,Female,18.0,Home & Kitchen,Blender,3,10837.35,32512.05,UPI,Mumbai
T0026,2025-12-06,C354,Male,18.0,Home & Kitchen,Mixer,1,10853.66,10853.66,UPI,Chennai
T0027,2025-06-18,C261,Female,20.0,Electronics,Smartphone,2,31318.06,62636.12,UPI,Delhi
T0028,2025-05-15,C295,Male,19.0,Groceries,Cooking Oil,3,1002.48,3007.44,UPI,Mumbai
T0029,2025-02-20,C364,Male,18.0,Home & Kitchen,Blender,2,11761.49,23522.98,Debit Card,Bengaluru
T0030,2025-11-13,C404,Male,37.0,Groceries,Coffee,2,1029.87,2059.74,Cash,Chennai
T0031,2025-04-26,C291,Male,28.0,Electronics,Smartwatch,5,58108.24,290541.2,Net Banking,Hyderabad
T0032,2025-02-23,C158,Male,37.0,Home & Kitchen,Air Fryer,2,5160.01,10320.02,Credit Card,Delhi
T0033,2025-10-26,C346,Female,40.0,Clothing,Jacket,3,4333.59,13000.77,Net Banking,Bengaluru
T0034,2025-11-12,C491,Male,30.0,Clothing,Jacket,1,3863.33,3863.33,Cash,Pune
T0035,2025-05-23,C192,Female,28.0,Beauty,Face Wash,1,3569.15,3569.15,Credit Card,Delhi
T0036,2025-05-30,C414,Female,23.0,Home & Kitchen,Mixer,1,11794.8,11794.8,UPI,Mumbai
T0037,2025-03-01,C208,Male,33.0,Clothing,Jeans,1,5053.28,5053.28,Cash,Delhi
T0038,2025-11-07,C408,Female,18.0,Groceries,Cooking Oil,2,847.7,1695.4,Net Banking,Bengaluru
T0039,2025-12-12,C329,Female,40.0,Beauty,Shampoo,1,1868.09,1868.09,Net Banking,Delhi
T0040,2025-01-01,C339,Female,23.0,Electronics,Smartwatch,2,17011.3,34022.6,UPI,Pune
T0041,2025-05-24,C186,Male,51.0,Groceries,Rice,2,431.78,863.56,Net Banking,Delhi
T0042,2025-07-23,C500,Female,40.0,Beauty,Face Wash,1,1383.37,1383.37,Credit Card,Pune
T0043,2025-04-10,C390,Female,51.0,Beauty,Face Wash,1,3806.75,3806.75,Credit Card,Bengaluru
T0044,2025-01-04,C116,Female,25.0,Home & Kitchen,Cookware,2,6794.97,13589.94,Credit Card,Hyderabad
T0045,2025-02-02,C279,Male,41.0,Beauty,Moisturizer,3,2378.79,7136.37,Net Banking,Mumbai
T0046,2025-02-13,C385,Male,35.0,Home & Kitchen,Mixer,5,10930.46,54652.3,Cash,Delhi
T0047,2025-03-31,C215,Male,32.0,Clothing,T-Shirt,1,2254.37,2254.37,Cash,Bengaluru
T0048,2025-08-05,C377,Male,23.0,Groceries,Coffee,2,1326.01,2652.02,UPI,Mumbai
T0049,2025-04-06,C252,Male,37.0,Clothing,T-Shirt,5,2769.4,13847.0,Net Banking,Mumbai
